time,count,entered,left,mean,ci_low,ci_high
0.0,13.0,0.0,0.0,13.3,12.5,14.2
1.0,13.0,0.0,0.0,13.5,12.7,14.3
1.0,14.0,1.0,0.0,13.5,12.7,14.3
2.0,14.0,0.0,0.0,13.6,12.6,14.4
2.0,14.0,0.0,0.0,13.6,12.6,14.4
3.0,14.0,0.0,0.0,13.6,12.6,14.4
3.0,14.0,0.0,0.0,13.6,12.6,14.4
4.0,14.0,0.0,0.0,13.6,12.6,14.4
4.0,14.0,0.0,0.0,13.6,12.6,14.4
5.0,14.0,0.0,0.0,13.6,12.8,14.4
5.0,14.0,0.0,0.0,13.6,12.8,14.4
6.0,14.0,0.0,0.0,13.8,13.2,14.504999999999995
6.0,14.0,0.0,0.0,13.8,13.2,14.504999999999995
7.0,15.0,1.0,0.0,14.0,13.2,14.8
7.0,15.0,0.0,0.0,14.0,13.2,14.8
7.0,15.0,0.0,0.0,14.0,13.2,14.8
8.0,15.0,0.0,0.0,14.05,13.2,14.9
8.0,15.0,0.0,0.0,14.05,13.2,14.9
8.0,15.0,0.0,0.0,14.05,13.2,14.9
8.0,16.0,1.0,0.0,14.05,13.2,14.9
9.0,16.0,0.0,0.0,14.36,13.4,15.680000000000001
9.0,17.0,1.0,0.0,14.36,13.4,15.680000000000001
9.0,17.0,0.0,0.0,14.36,13.4,15.680000000000001
9.0,17.0,0.0,0.0,14.36,13.4,15.680000000000001
9.0,17.0,0.0,0.0,14.36,13.4,15.680000000000001
10.0,17.0,0.0,0.0,14.4,13.2,15.8
10.0,17.0,0.0,0.0,14.4,13.2,15.8
10.0,17.0,0.0,0.0,14.4,13.2,15.8
10.0,17.0,0.0,0.0,14.4,13.2,15.8
10.0,17.0,0.0,0.0,14.4,13.2,15.8
11.0,17.0,0.0,0.0,14.4,13.4,15.6
11.0,17.0,0.0,0.0,14.4,13.4,15.6
11.0,17.0,0.0,0.0,14.4,13.4,15.6
11.0,17.0,0.0,0.0,14.4,13.4,15.6
11.0,17.0,0.0,0.0,14.4,13.4,15.6
12.0,17.0,0.0,0.0,14.4,13.2,15.8
12.0,17.0,0.0,0.0,14.4,13.2,15.8
12.0,17.0,0.0,0.0,14.4,13.2,15.8
12.0,17.0,0.0,0.0,14.4,13.2,15.8
12.0,17.0,0.0,0.0,14.4,13.2,15.8
13.0,17.0,0.0,0.0,14.6,13.2,16.104999999999993
13.0,17.0,0.0,0.0,14.6,13.2,16.104999999999993
13.0,17.0,0.0,0.0,14.6,13.2,16.104999999999993
13.0,17.0,0.0,0.0,14.6,13.2,16.104999999999993
13.0,17.0,0.0,0.0,14.6,13.2,16.104999999999993
14.0,17.0,0.0,0.0,14.6,13.4,16.2
14.0,17.0,0.0,0.0,14.6,13.4,16.2
14.0,17.0,0.0,0.0,14.6,13.4,16.2
14.0,17.0,0.0,0.0,14.6,13.4,16.2
14.0,17.0,0.0,0.0,14.6,13.4,16.2
15.0,17.0,0.0,0.0,14.6,13.2,16.0
15.0,17.0,0.0,0.0,14.6,13.2,16.0
15.0,17.0,0.0,0.0,14.6,13.2,16.0
15.0,17.0,0.0,0.0,14.6,13.2,16.0
15.0,17.0,0.0,0.0,14.6,13.2,16.0
16.0,17.0,0.0,0.0,14.8,13.533333333333333,16.199999999999996
16.0,17.0,0.0,0.0,14.8,13.533333333333333,16.199999999999996
16.0,17.0,0.0,0.0,14.8,13.533333333333333,16.199999999999996
16.0,17.0,0.0,0.0,14.8,13.533333333333333,16.199999999999996
16.0,18.0,1.0,0.0,14.8,13.533333333333333,16.199999999999996
16.0,18.0,0.0,0.0,14.8,13.533333333333333,16.199999999999996
17.0,18.0,0.0,0.0,15.2,13.8,16.6
17.0,18.0,0.0,0.0,15.2,13.8,16.6
17.0,18.0,0.0,0.0,15.2,13.8,16.6
17.0,18.0,0.0,0.0,15.2,13.8,16.6
17.0,18.0,0.0,0.0,15.2,13.8,16.6
17.0,18.0,0.0,0.0,15.2,13.8,16.6
18.0,18.0,0.0,0.0,15.3,14.0,16.7
18.0,18.0,0.0,0.0,15.3,14.0,16.7
18.0,18.0,0.0,0.0,15.3,14.0,16.7
18.0,18.0,0.0,0.0,15.3,14.0,16.7
18.0,18.0,0.0,0.0,15.3,14.0,16.7
18.0,18.0,0.0,0.0,15.3,14.0,16.7
19.0,18.0,0.0,0.0,15.4,14.0,16.704999999999995
19.0,18.0,0.0,0.0,15.4,14.0,16.704999999999995
19.0,18.0,0.0,0.0,15.4,14.0,16.704999999999995
19.0,18.0,0.0,0.0,15.4,14.0,16.704999999999995
19.0,18.0,0.0,0.0,15.4,14.0,16.704999999999995
19.0,18.0,0.0,0.0,15.4,14.0,16.704999999999995
20.0,18.0,0.0,0.0,15.6,14.6,17.0
20.0,18.0,0.0,0.0,15.6,14.6,17.0
20.0,18.0,0.0,0.0,15.6,14.6,17.0
20.0,18.0,0.0,0.0,15.6,14.6,17.0
20.0,18.0,0.0,0.0,15.6,14.6,17.0
20.0,18.0,0.0,0.0,15.6,14.6,17.0
21.0,18.0,0.0,0.0,15.6,14.6,16.8
21.0,18.0,0.0,0.0,15.6,14.6,16.8
21.0,18.0,0.0,0.0,15.6,14.6,16.8
21.0,18.0,0.0,0.0,15.6,14.6,16.8
21.0,18.0,0.0,0.0,15.6,14.6,16.8
21.0,18.0,0.0,0.0,15.6,14.6,16.8
22.0,18.0,0.0,0.0,15.666666666666666,14.6,17.066666666666666
22.0,18.0,0.0,0.0,15.666666666666666,14.6,17.066666666666666
22.0,18.0,0.0,0.0,15.666666666666666,14.6,17.066666666666666
22.0,18.0,0.0,0.0,15.666666666666666,14.6,17.066666666666666
22.0,18.0,0.0,0.0,15.666666666666666,14.6,17.066666666666666
22.0,18.0,0.0,0.0,15.666666666666666,14.6,17.066666666666666
23.0,18.0,0.0,0.0,16.169999999999998,15.158,17.27625
23.0,18.0,0.0,0.0,16.169999999999998,15.158,17.27625
23.0,18.0,0.0,0.0,16.169999999999998,15.158,17.27625
23.0,18.0,0.0,0.0,16.169999999999998,15.158,17.27625
23.0,18.0,0.0,0.0,16.169999999999998,15.158,17.27625
23.0,18.0,0.0,0.0,16.169999999999998,15.158,17.27625
24.0,18.0,0.0,0.0,16.6,15.2,17.8
24.0,18.0,0.0,0.0,16.6,15.2,17.8
24.0,18.0,0.0,0.0,16.6,15.2,17.8
24.0,18.0,0.0,0.0,16.6,15.2,17.8
24.0,18.0,0.0,0.0,16.6,15.2,17.8
24.0,18.0,0.0,0.0,16.6,15.2,17.8
25.0,18.0,0.0,0.0,16.6,15.2,17.8
25.0,18.0,0.0,0.0,16.6,15.2,17.8
25.0,18.0,0.0,0.0,16.6,15.2,17.8
25.0,18.0,0.0,0.0,16.6,15.2,17.8
25.0,18.0,0.0,0.0,16.6,15.2,17.8
25.0,18.0,0.0,0.0,16.6,15.2,17.8
26.0,18.0,0.0,0.0,16.6,15.0,17.8
26.0,18.0,0.0,0.0,16.6,15.0,17.8
26.0,18.0,0.0,0.0,16.6,15.0,17.8
26.0,18.0,0.0,0.0,16.6,15.0,17.8
26.0,18.0,0.0,0.0,16.6,15.0,17.8
26.0,18.0,0.0,0.0,16.6,15.0,17.8
27.0,18.0,0.0,0.0,16.666666666666664,15.266666666666666,17.8
27.0,18.0,0.0,0.0,16.666666666666664,15.266666666666666,17.8
27.0,18.0,0.0,0.0,16.666666666666664,15.266666666666666,17.8
27.0,18.0,0.0,0.0,16.666666666666664,15.266666666666666,17.8
27.0,18.0,0.0,0.0,16.666666666666664,15.266666666666666,17.8
27.0,18.0,0.0,0.0,16.666666666666664,15.266666666666666,17.8
28.0,18.0,0.0,0.0,16.95,15.55,17.9
28.0,18.0,0.0,0.0,16.95,15.55,17.9
28.0,18.0,0.0,0.0,16.95,15.55,17.9
28.0,18.0,0.0,0.0,16.95,15.55,17.9
28.0,18.0,0.0,0.0,16.95,15.55,17.9
28.0,18.0,0.0,0.0,16.95,15.55,17.9
29.0,18.0,0.0,0.0,17.0,15.4,18.0
29.0,18.0,0.0,0.0,17.0,15.4,18.0
29.0,18.0,0.0,0.0,17.0,15.4,18.0
29.0,18.0,0.0,0.0,17.0,15.4,18.0
29.0,18.0,0.0,0.0,17.0,15.4,18.0
29.0,18.0,0.0,0.0,17.0,15.4,18.0
30.0,18.0,0.0,0.0,17.0,15.4,18.0
30.0,18.0,0.0,0.0,17.0,15.4,18.0
30.0,18.0,0.0,0.0,17.0,15.4,18.0
30.0,18.0,0.0,0.0,17.0,15.4,18.0
30.0,18.0,0.0,0.0,17.0,15.4,18.0
30.0,18.0,0.0,0.0,17.0,15.4,18.0
31.0,18.0,0.0,0.0,17.0,15.4,18.0
31.0,18.0,0.0,0.0,17.0,15.4,18.0
31.0,18.0,0.0,0.0,17.0,15.4,18.0
31.0,18.0,0.0,0.0,17.0,15.4,18.0
31.0,18.0,0.0,0.0,17.0,15.4,18.0
31.0,18.0,0.0,0.0,17.0,15.4,18.0
32.0,18.0,0.0,0.0,17.0,15.4,18.0
32.0,18.0,0.0,0.0,17.0,15.4,18.0
32.0,18.0,0.0,0.0,17.0,15.4,18.0
32.0,18.0,0.0,0.0,17.0,15.4,18.0
32.0,18.0,0.0,0.0,17.0,15.4,18.0
32.0,18.0,0.0,0.0,17.0,15.4,18.0
33.0,18.0,0.0,0.0,17.0,15.4,18.0
33.0,18.0,0.0,0.0,17.0,15.4,18.0
