time,house,duration,mean,ci_low,ci_high
40.0,43321 Brittany Bypass,43.0,22.486666666666668,9.466666666666667,35.927499999999995
20.0,33890 Jennifer Squares,20.0,18.3125,15.625,22.0
30.0,79402 Peterson Drives Apt. 511,32.0,30.0,28.5,31.5
20.0,55940 Herrera Lane Apt. 849,16.0,18.3125,15.625,22.0
20.0,310 Kendra Common Apt. 164,24.0,18.3125,15.625,22.0
20.0,55940 Herrera Lane Apt. 849,1.0,18.3125,15.625,22.0
40.0,310 Kendra Common Apt. 164,3.0,22.486666666666668,9.466666666666667,35.927499999999995
40.0,33890 Jennifer Squares,1.0,22.486666666666668,9.466666666666667,35.927499999999995
40.0,55940 Herrera Lane Apt. 849,3.0,22.486666666666668,9.466666666666667,35.927499999999995
50.0,79402 Peterson Drives Apt. 511,5.0,23.083333333333336,5.333333333333333,37.583333333333336
40.0,33890 Jennifer Squares,3.0,22.486666666666668,9.466666666666667,35.927499999999995
60.0,79402 Peterson Drives Apt. 511,1.0,12.446666666666667,2.0100000000000002,23.74791666666666
60.0,55940 Herrera Lane Apt. 849,1.0,12.446666666666667,2.0100000000000002,23.74791666666666
60.0,310 Kendra Common Apt. 164,2.0,12.446666666666667,2.0100000000000002,23.74791666666666
60.0,33890 Jennifer Squares,2.0,12.446666666666667,2.0100000000000002,23.74791666666666
60.0,43321 Brittany Bypass,1.0,12.446666666666667,2.0100000000000002,23.74791666666666
70.0,55940 Herrera Lane Apt. 849,3.0,7.4333333333333345,1.6,18.1
80.0,79402 Peterson Drives Apt. 511,2.0,2.4833333333333334,1.15,4.942083333333332
80.0,310 Kendra Common Apt. 164,1.0,2.4833333333333334,1.15,4.942083333333332
90.0,33890 Jennifer Squares,3.0,3.9,1.6666666666666665,6.966666666666666
90.0,43321 Brittany Bypass,4.0,3.9,1.6666666666666665,6.966666666666666
90.0,55940 Herrera Lane Apt. 849,1.0,3.9,1.6666666666666665,6.966666666666666
100.0,79402 Peterson Drives Apt. 511,5.0,2.38,1.08,3.7954999999999948
110.0,310 Kendra Common Apt. 164,6.0,1.5999999999999999,1.0666666666666667,2.2666666666666666
110.0,43321 Brittany Bypass,1.0,1.5999999999999999,1.0666666666666667,2.2666666666666666
110.0,33890 Jennifer Squares,1.0,1.5999999999999999,1.0666666666666667,2.2666666666666666
120.0,55940 Herrera Lane Apt. 849,3.0,1.28,1.08,1.4704999999999997
120.0,310 Kendra Common Apt. 164,1.0,1.28,1.08,1.4704999999999997
120.0,33890 Jennifer Squares,1.0,1.28,1.08,1.4704999999999997
120.0,79402 Peterson Drives Apt. 511,1.0,1.28,1.08,1.4704999999999997
120.0,55940 Herrera Lane Apt. 849,1.0,1.28,1.08,1.4704999999999997
130.0,43321 Brittany Bypass,1.0,1.1333333333333333,1.0,1.4000000000000001
130.0,310 Kendra Common Apt. 164,1.0,1.1333333333333333,1.0,1.4000000000000001
130.0,79402 Peterson Drives Apt. 511,3.0,1.1333333333333333,1.0,1.4000000000000001
140.0,43321 Brittany Bypass,3.0,1.3,1.0,1.6
140.0,33890 Jennifer Squares,2.0,1.3,1.0,1.6
140.0,55940 Herrera Lane Apt. 849,1.0,1.3,1.0,1.6
140.0,310 Kendra Common Apt. 164,1.0,1.3,1.0,1.6
150.0,79402 Peterson Drives Apt. 511,1.0,1.8666666666666665,1.5333333333333334,2.3
150.0,55940 Herrera Lane Apt. 849,3.0,1.8666666666666665,1.5333333333333334,2.3
150.0,310 Kendra Common Apt. 164,1.0,1.8666666666666665,1.5333333333333334,2.3
150.0,33890 Jennifer Squares,1.0,1.8666666666666665,1.5333333333333334,2.3
160.0,43321 Brittany Bypass,1.0,1.0,1.0,1.0
160.0,33890 Jennifer Squares,1.0,1.0,1.0,1.0
170.0,79402 Peterson Drives Apt. 511,1.0,1.0666666666666667,1.0,1.2
170.0,310 Kendra Common Apt. 164,1.0,1.0666666666666667,1.0,1.2
170.0,33890 Jennifer Squares,1.0,1.0666666666666667,1.0,1.2
180.0,55940 Herrera Lane Apt. 849,1.0,1.3,1.1,1.5
180.0,79402 Peterson Drives Apt. 511,1.0,1.3,1.1,1.5
180.0,310 Kendra Common Apt. 164,3.0,1.3,1.1,1.5
180.0,43321 Brittany Bypass,1.0,1.3,1.1,1.5
190.0,79402 Peterson Drives Apt. 511,1.0,1.4833333333333334,1.05,2.0333333333333337
200.0,33890 Jennifer Squares,2.0,1.903333333333333,1.1199999999999999,2.6866666666666665
200.0,43321 Brittany Bypass,1.0,1.903333333333333,1.1199999999999999,2.6866666666666665
200.0,310 Kendra Common Apt. 164,2.0,1.903333333333333,1.1199999999999999,2.6866666666666665
200.0,55940 Herrera Lane Apt. 849,2.0,1.903333333333333,1.1199999999999999,2.6866666666666665
210.0,79402 Peterson Drives Apt. 511,5.0,1.7,1.0,2.4
200.0,43321 Brittany Bypass,1.0,1.903333333333333,1.1199999999999999,2.6866666666666665
210.0,55940 Herrera Lane Apt. 849,1.0,1.7,1.0,2.4
220.0,33890 Jennifer Squares,1.0,1.45,1.0,2.2
220.0,55940 Herrera Lane Apt. 849,1.0,1.45,1.0,2.2
220.0,79402 Peterson Drives Apt. 511,1.0,1.45,1.0,2.2
230.0,310 Kendra Common Apt. 164,1.0,1.04,1.0,1.12
230.0,43321 Brittany Bypass,1.0,1.04,1.0,1.12
240.0,310 Kendra Common Apt. 164,1.0,1.29,1.04475,1.6657499999999994
240.0,33890 Jennifer Squares,1.0,1.29,1.04475,1.6657499999999994
240.0,43321 Brittany Bypass,1.0,1.29,1.04475,1.6657499999999994
240.0,55940 Herrera Lane Apt. 849,2.0,1.29,1.04475,1.6657499999999994
240.0,43321 Brittany Bypass,1.0,1.29,1.04475,1.6657499999999994
250.0,79402 Peterson Drives Apt. 511,1.0,4.066666666666666,1.0666666666666667,9.6
250.0,310 Kendra Common Apt. 164,2.0,4.066666666666666,1.0666666666666667,9.6
250.0,33890 Jennifer Squares,3.0,4.066666666666666,1.0666666666666667,9.6
